file	percent	reads	taxon_id	taxon_name
gridion364_default.kaiju.classification	12.502928	436526	1613	Lactobacillus fermentum
gridion364_default.kaiju.classification	10.269091	358534	1351	Enterococcus faecalis
gridion364_default.kaiju.classification	9.322046	325469	1639	Listeria monocytogenes
gridion364_default.kaiju.classification	4.151326	144939	1280	Staphylococcus aureus
gridion364_default.kaiju.classification	2.124483	74174	562	Escherichia coli
gridion364_default.kaiju.classification	1.778919	62109	28901	Salmonella enterica
gridion364_default.kaiju.classification	1.103858	38540	287	Pseudomonas aeruginosa
gridion364_default.kaiju.classification	0.811224	28323	1423	Bacillus subtilis
gridion364_default.kaiju.classification	0.074440	2599	72361	Bacillus vallismortis
gridion364_default.kaiju.classification	0.068139	2379	51669	Tetragenococcus halophilus
gridion364_default.kaiju.classification	0.052042	1817	227866	Bacillus tequilensis
gridion364_default.kaiju.classification	0.049465	1727	1491	Clostridium botulinum
gridion364_default.kaiju.classification	0.046142	1611	158836	Enterobacter hormaechei
gridion364_default.kaiju.classification	0.045884	1602	623	Shigella flexneri
gridion364_default.kaiju.classification	0.044796	1564	622	Shigella dysenteriae
gridion364_default.kaiju.classification	0.044194	1543	1238	Piscirickettsia salmonis
gridion364_default.kaiju.classification	0.042161	1472	573	Klebsiella pneumoniae
gridion364_default.kaiju.classification	0.041989	1466	1452	Bacillus atrophaeus
gridion364_default.kaiju.classification	0.040356	1409	1638	Listeria ivanovii
gridion364_default.kaiju.classification	0.038495	1344	208962	Escherichia albertii
gridion364_default.kaiju.classification	0.037005	1292	1642	Listeria innocua
gridion364_default.kaiju.classification	0.034599	1208	1643	Listeria welshimeri
gridion364_default.kaiju.classification	0.028814	1006	260554	Bacillus halotolerans
gridion364_default.kaiju.classification	0.026580	928	621	Shigella boydii
gridion364_default.kaiju.classification	0.024718	863	1598	Lactobacillus reuteri
gridion364_default.kaiju.classification	0.023945	836	1654388	Staphylococcus schweitzeri
gridion364_default.kaiju.classification	0.022169	774	2699183	Candidatus Saccharibacteria bacterium FS17P
gridion364_default.kaiju.classification	0.021940	766	72360	Bacillus mojavensis
gridion364_default.kaiju.classification	0.020765	725	492670	Bacillus velezensis
gridion364_default.kaiju.classification	0.018875	659	54736	Salmonella bongori
gridion364_default.kaiju.classification	0.018846	658	1640	Listeria seeligeri
gridion364_default.kaiju.classification	0.014407	503	584	Proteus mirabilis
gridion364_default.kaiju.classification	0.014120	493	1283	Staphylococcus haemolyticus
gridion364_default.kaiju.classification	0.013719	479	308354	Staphylococcus simiae
gridion364_default.kaiju.classification	0.013548	473	564	Escherichia fergusonii
gridion364_default.kaiju.classification	0.013490	471	985002	Staphylococcus argenteus
gridion364_default.kaiju.classification	0.013061	456	624	Shigella sonnei
gridion364_default.kaiju.classification	0.012287	429	1499973	Escherichia marmotae
gridion364_default.kaiju.classification	0.012030	420	1390	Bacillus amyloliquefaciens
gridion364_default.kaiju.classification	0.012030	420	46126	Staphylococcus chromogenes
gridion364_default.kaiju.classification	0.011972	418	33959	Lactobacillus johnsonii
gridion364_default.kaiju.classification	0.011858	414	1352	Enterococcus faecium
gridion364_default.kaiju.classification	0.011715	409	1590	Lactobacillus plantarum
gridion364_default.kaiju.classification	0.010998	384	97478	Lactobacillus mucosae
gridion364_default.kaiju.classification	0.010769	376	2005703	Enterococcus wangshanyuanii
gridion364_default.kaiju.classification	0.010025	350	1641	Listeria grayi
gridion364_default.kaiju.classification	0.009853	344	546	Citrobacter freundii
gridion364_default.kaiju.classification	0.009853	344	2704465	Rhodocytophaga sp. 172606-1
gridion364_default.kaiju.classification	0.009337	326	2044467	Escherichia sp. E4742
gridion364_default.kaiju.classification	0.009165	320	2692757	Lactobacillus sp. C25
gridion364_default.kaiju.classification	0.008793	307	1978467	Pseudomonas sp. AK6U
