Closest_match,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,LCA_TaxId,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species
4932|X55936.1 Yeast PRP2 gene (RNA2 gene) for pre-mRNA splicing factor,3740,144,3177,95.06,103.18,92.13,96.92,5083.200000000001,3327.83,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
83333|X15025.1 Escherichia coli fucose operon,6562,405,8901,87.05,91.91,94.71,108.8,8188.92,5441.12,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
33965|X62617.1 L.mesenteroides IS1165 DNA sequence,9154,70,1553,97.49,99.48,97.99,100.52,19692.04,8944.17,1e-26,1243,Bacteria,unk_k,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,
1280|X16471.1 Staphylococcus aureus transposon Tn4002 blaZ gene for beta-lactamase,742,59,1299,59.51,61.89,96.14,161.57,805.38,582.12,1e-26,90964,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,,
"562|M89479.1 Escherichia coli uhpABCT operon encoding hexosephosphate utilization protein (uhpA) gene, complete cds, and hexosephosphate transport protein (uhpB, uhpC, uhpT) genes, complete cds",5770,245,5403,75.03,80.94,92.71,123.55,8482.710000000001,5072.64,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
"4932|M27082.1 S.cerevisiae GCN2 gene (which couples GCN4 expression to amino acid availability), complete cds",9492,219,4813,81.57,84.44,96.6,118.43,10829.25,8854.74,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
"4932|L01414.1 Saccharomyces cerevisiae DNA helicase (RAD25) gene, complete cds",6328,179,3955,68.8,73.27,93.89,136.47,6565.299999999999,5808.02,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
5207|L14068.1 Cryptococcus neoformans 5.8S and 25S ribosomal RNA sequences,2516,172,3785,79.15,87.48,90.49,114.32,5866.75,2043.45,1e-26,1884633,Eukaryota,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,,
"4932|M27229.1 Saccharomyces cerevisiae nuclear-encoded mitochondrial heat shock protein (Ssc1) gene, complete cds",1760,126,2783,59.54,62.49,95.28,160.03,1725.46,1414.1,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
"4932|Z24732.1 S.cerevisiae PRP8 gene, complete CDS",20614,370,8151,86.48,89.78,96.32,111.38,26735.28,19527.55,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
"4932|Z27116.1 S.cerevisiae HBS1, MRP-L20 and PRP-16 genes",19420,819,18002,53.24,55.52,95.89,180.11,22142.46,17095.2,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|X75816.1 S. cerevisiae PCM1/AGM1 gene,2652,157,3460,53.53,55.2,96.96,181.15,1903.0000000000002,2214.97,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
"4932|D10224.1 Saccharomyces cerevisiae gene for Gcr3, complete cds",7656,192,4223,83.68,87.8,95.31,113.89,7770.320000000001,7098.35,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z28155.1 S.cerevisiae chromosome XI reading frame ORF YKL155c,4170,119,2634,82.92,88.42,93.77,113.1,7032.78,3823.83,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z28177.1 S.cerevisiae chromosome XI reading frame ORF YKL178c,1656,136,2996,44.06,46.16,95.44,216.63,1378.16,1288.5,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z28243.1 S.cerevisiae chromosome XI reading frame ORF YKR018c,2784,130,2866,70.59,74.32,94.98,134.55,2120.84,2416.11,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|Z28252.1 S.cerevisiae chromosome XI reading frame ORF YKR027w,8346,209,4601,84.24,90.09,93.51,111.0,8649.88,7738.42,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|U10397.1 Saccharomyces cerevisiae chromosome VIII cosmid 9666,66006,1777,39057,74.51,78.52,94.89,127.35,88268.81999999999,60860.82,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|U10400.1 Saccharomyces cerevisiae chromosome VIII cosmid L2825,16588,851,18715,40.55,42.96,94.38,232.77,24516.65,14199.59,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
4932|X80835.1 S.cerevisiae chromosome XIII cosmid 9514,57498,629,13841,97.62,100.43,97.2,99.57,60761.99,55635.9,1e-26,4930,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
511145|U18997.1 Escherichia coli K-12 chromosomal region from 67.4 to 76.0 minutes,333718,16946,372438,27.66,28.96,95.52,345.32,409681.80000000005,286155.04,1e-26,543,Bacteria,unk_k,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,,
"1280|D17366.1 Staphylococcus aureus atl gene for autolysin, complete cds and other ORFs",7590,279,6140,55.23,58.29,94.75,171.56,6262.8,6791.52,1e-26,90964,Bacteria,unk_k,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,,
"4932|U23472.1 Saccharomyces cerevisiae chromosome XV right telomere enolase related (ERR1) and RNA helicase like genes, complete cds, X element, Y' element",10098,487,10710,61.18,67.44,90.71,148.28,18528.3,8725.74,1e-26,4893,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
